Contig	Start	End	Strand	Pos
NZ_CP085987.1	3	1649	1	1
NZ_CP085987.1	1646	2203	1	2
NZ_CP085987.1	2200	3243	1	3
NZ_CP085987.1	3287	3934	-1	4
NZ_CP085987.1	4670	5227	1	5
NZ_CP085987.1	5419	5796	-1	6
NZ_CP085987.1	5925	6716	1	7
NZ_CP085987.1	7385	9751	1	8
NZ_CP085987.1	9751	9852	1	9
NZ_CP085987.1	9842	10072	1	10
NZ_CP085987.1	10080	11069	1	11
NZ_CP085987.1	11087	11452	1	12
NZ_CP085987.1	11481	12812	-1	13
NZ_CP085987.1	13109	13438	1	14
NZ_CP085987.1	13452	13970	1	15
NZ_CP085987.1	14031	15272	1	16
NZ_CP085987.1	15275	15802	1	17
NZ_CP085987.1	16180	16623	1	18
NZ_CP085987.1	16677	17912	-1	19
NZ_CP085987.1	18053	18499	-1	20
NZ_CP085987.1	18997	19668	1	21
NZ_CP085987.1	19949	21709	-1	22
NZ_CP085987.1	21741	21968	-1	23
NZ_CP085987.1	22148	23155	1	24
NZ_CP085987.1	23183	23803	1	25
NZ_CP085987.1	23912	24196	-1	26
NZ_CP085987.1	24321	26081	-1	27
NZ_CP085987.1	26233	26928	1	28
NZ_CP085987.1	26956	28146	1	29
NZ_CP085987.1	28537	28881	1	30
NZ_CP085987.1	28885	30474	-1	31
NZ_CP085987.1	30476	31501	-1	32
NZ_CP085987.1	31501	32595	-1	33
NZ_CP085987.1	32605	34410	-1	34
NZ_CP085987.1	34517	36073	-1	35
NZ_CP085987.1	36399	36971	-1	36
NZ_CP085987.1	37385	38104	-1	37
NZ_CP085987.1	38134	39120	-1	38
NZ_CP085987.1	39333	39905	-1	39
NZ_CP085987.1	40229	40483	1	40
NZ_CP085987.1	40995	41660	1	41
NZ_CP085987.1	41725	42906	-1	42
NZ_CP085987.1	43100	43207	1	43
NZ_CP085987.1	43275	44405	1	44
NZ_CP085987.1	44405	45343	1	45
NZ_CP085987.1	45360	47048	1	46
NZ_CP085987.1	47113	47970	-1	47
NZ_CP085987.1	48049	49098	-1	48
NZ_CP085987.1	49219	50082	1	49
NZ_CP085987.1	50272	51741	1	50
NZ_CP085987.1	52087	54078	1	51
NZ_CP085987.1	54122	55444	-1	52
NZ_CP085987.1	55477	56364	-1	53
NZ_CP085987.1	56581	57948	1	54
NZ_CP085987.1	57953	58342	1	55
NZ_CP085987.1	58331	59188	-1	56
NZ_CP085987.1	59518	60186	1	57
NZ_CP085987.1	60183	61343	1	58
NZ_CP085987.1	61493	62515	1	59
NZ_CP085987.1	63014	64012	1	60
NZ_CP085987.1	64146	65666	1	61
NZ_CP085987.1	65682	66692	1	62
