Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_1_CAS-I-II-III-IV-V-VI	NZ_CP085987.1_4765	217	94	0.048	12.5	5040122	5040772	NZ_CP085987.1	4765	0.35023041474654376	0.8617021276595744	1
AbiEii_0_CAS-III	NZ_CP085987.1_1010	645	284	0.045	11.4	1027758	1029692	NZ_CP085987.1	1010	0.04961240310077519	0.1056338028169014	1
AbiEii_0_CAS-III	NZ_CP085987.1_1064	379	284	1.8e-05	22.6	1078355	1079491	NZ_CP085987.1	1064	0.24802110817941952	0.34507042253521125	1
AbiEii_0_CAS-III	NZ_CP085987.1_1072	234	284	0.024	12.3	1086949	1087650	NZ_CP085987.1	1072	0.2692307692307692	0.22183098591549297	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1223	636	284	4.3e-10	37.7	1237428	1239335	NZ_CP085987.1	1223	0.21855345911949686	0.38028169014084506	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1319	448	284	0.00092	16.9	1339901	1341244	NZ_CP085987.1	1319	0.12276785714285714	0.1795774647887324	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1351	243	284	1.6e-08	32.6	1378940	1379668	NZ_CP085987.1	1351	0.4691358024691358	0.4014084507042254	1
AbiEii_0_CAS-III	NZ_CP085987.1_1396	624	284	1.1e-05	23.3	1420739	1422610	NZ_CP085987.1	1396	0.4567307692307692	0.5880281690140845	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1406	531	284	1.6e-07	29.3	1434083	1435675	NZ_CP085987.1	1406	0.2806026365348399	0.4014084507042254	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1417	241	284	3.8e-08	31.4	1445247	1445969	NZ_CP085987.1	1417	0.7468879668049793	0.5352112676056338	1
AbiEii_0_CAS-III	NZ_CP085987.1_1427	579	284	5.2e-07	27.6	1457017	1458753	NZ_CP085987.1	1427	0.153713298791019	0.23591549295774647	1
AbiEii_0_CAS-III	NZ_CP085987.1_1463	353	284	0.0065	14.2	1493226	1494284	NZ_CP085987.1	1463	0.16997167138810199	0.2112676056338028	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1468	492	284	2.9e-09	35.0	1497050	1498525	NZ_CP085987.1	1468	0.23577235772357724	0.2535211267605634	1
AbiEii_0_CAS-III	NZ_CP085987.1_1475	259	284	2.4e-07	28.7	1505152	1505928	NZ_CP085987.1	1475	0.29343629343629346	0.2676056338028169	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1521	237	284	0.00015	19.6	1553224	1553934	NZ_CP085987.1	1521	0.16033755274261605	0.13380281690140844	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1574	242	284	2.7e-07	28.5	1614709	1615434	NZ_CP085987.1	1574	0.512396694214876	0.426056338028169	1
AbiEii_0_CAS-III	NZ_CP085987.1_1646	265	284	3.1e-05	21.8	1690465	1691259	NZ_CP085987.1	1646	0.32452830188679244	0.2992957746478873	1
AbiEii_0_CAS-III	NZ_CP085987.1_1721	339	284	2.8e-05	22.0	1769005	1770021	NZ_CP085987.1	1721	0.30973451327433627	0.352112676056338	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1727	229	284	0.015	12.9	1774874	1775560	NZ_CP085987.1	1727	0.2576419213973799	0.20422535211267606	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1786	424	284	0.0019	15.9	1837356	1838627	NZ_CP085987.1	1786	0.08962264150943396	0.12323943661971831	-1
AbiEii_0_CAS-III	NZ_CP085987.1_1807	370	284	0.00031	18.5	1860580	1861689	NZ_CP085987.1	1807	0.17027027027027028	0.2147887323943662	1
AbiEii_0_CAS-III	NZ_CP085987.1_1840	1047	284	0.015	13.0	1893331	1896471	NZ_CP085987.1	1840	0.1356255969436485	0.426056338028169	1
AbiEii_0_CAS-III	NZ_CP085987.1_1847	182	284	0.028	12.1	1901322	1901867	NZ_CP085987.1	1847	0.45604395604395603	0.2992957746478873	-1
AbiEii_0_CAS-III	NZ_CP085987.1_2041	344	284	0.00011	20.0	2094119	2095150	NZ_CP085987.1	2041	0.29651162790697677	0.34507042253521125	1
AbiEii_0_CAS-III	NZ_CP085987.1_2117	309	284	6.7e-09	33.8	2179060	2179986	NZ_CP085987.1	2117	0.37540453074433655	0.39436619718309857	-1
AbiEii_0_CAS-III	NZ_CP085987.1_2183	236	284	0.00064	17.5	2258051	2258758	NZ_CP085987.1	2183	0.4279661016949153	0.3345070422535211	1
AbiEii_0_CAS-III	NZ_CP085987.1_230	272	284	0.013	13.2	248617	249432	NZ_CP085987.1	230	0.34191176470588236	0.31338028169014087	1
AbiEii_0_CAS-III	NZ_CP085987.1_2305	556	284	2.3e-07	28.8	2400755	2402422	NZ_CP085987.1	2305	0.2068345323741007	0.3415492957746479	1
AbiEii_0_CAS-III	NZ_CP085987.1_2391	364	284	3.7e-06	24.8	2496319	2497410	NZ_CP085987.1	2391	0.25824175824175827	0.2992957746478873	1
AbiEii_0_CAS-III	NZ_CP085987.1_2734	370	284	3.3e-05	21.7	2868335	2869444	NZ_CP085987.1	2734	0.3918918918918919	0.4894366197183099	-1
AbiEii_0_CAS-III	NZ_CP085987.1_3078	258	284	0.0038	14.9	3258424	3259197	NZ_CP085987.1	3078	0.43410852713178294	0.3767605633802817	1
AbiEii_0_CAS-III	NZ_CP085987.1_3096	358	284	0.0013	16.5	3277566	3278639	NZ_CP085987.1	3096	0.12011173184357542	0.14788732394366197	1
AbiEii_0_CAS-III	NZ_CP085987.1_31	530	284	0.0051	14.5	28885	30474	NZ_CP085987.1	31	0.39433962264150946	0.46830985915492956	-1
AbiEii_0_CAS-III	NZ_CP085987.1_3114	209	284	0.0081	13.9	3301339	3301965	NZ_CP085987.1	3114	0.3827751196172249	0.2676056338028169	1
AbiEii_0_CAS-III	NZ_CP085987.1_3182	397	284	2.2e-08	32.1	3368738	3369928	NZ_CP085987.1	3182	0.34005037783375314	0.4014084507042254	-1
AbiEii_0_CAS-III	NZ_CP085987.1_3331	328	284	0.0086	13.8	3526769	3527752	NZ_CP085987.1	3331	0.2774390243902439	0.29225352112676056	1
AbiEii_0_CAS-III	NZ_CP085987.1_3373	914	284	0.01	13.5	3583396	3586137	NZ_CP085987.1	3373	0.20787746170678337	0.35563380281690143	1
AbiEii_0_CAS-III	NZ_CP085987.1_3397	256	284	2.7e-07	28.6	3608959	3609726	NZ_CP085987.1	3397	0.45703125	0.39436619718309857	1
AbiEii_0_CAS-III	NZ_CP085987.1_3398	238	284	0.0068	14.1	3609728	3610441	NZ_CP085987.1	3398	0.4831932773109244	0.3908450704225352	1
